Title,Latitude,Longitude,Northing,Easting,Description
33CD31,38.30184654,-104.3562481,0,0,
328EFE,38.30189868,-104.357771,0,0,
364BBD,38.29845677,-104.3547773,0,0,
367E6A,38.30296955,-104.3576614,0,0,
3288D8,38.30063208,-104.3577295,0,0,
3645AA,38.29958988,-104.3577194,0,0,
36563F,38.29959969,-104.3534407,0,0,
36885E,38.2984473,-104.3577609,0,0,
36886D,38.3018364,-104.3548722,0,0,
365217,38.29959964,-104.3562722,0,0,
365972,38.30182698,-104.3535298,0,0,
368405,38.30064097,-104.3548283,0,0,
368851,38.299905,-104.3591038,0,0,
363778,38.302961,-104.354872,,,
Node,38.30296052,-104.354872,0,0,
Node,38.30183704,-104.3548685,0,0,
Node,38.30183316,-104.3591613,0,0,